window,seed,rep,enabled,jump_active,forced_fraction,abs_acf_mae25,abs_acf_mae60,variance_ratio_observed
training,1234,1,false,false,0.0,0.2393955529975093,0.15057313546707693,1.037014472338011
training,1234,2,false,false,0.0,0.23470684713934298,0.14979290152213137,1.0695102025821723
training,1234,3,false,false,0.0,0.2146905666291669,0.13626040207854576,1.1009269496746439
training,1234,4,false,false,0.0,0.24087583284988018,0.15178403382490213,0.9932538121877809
training,1234,5,false,false,0.0,0.23064249413797422,0.15162175670487585,0.9584018947602998
training,1234,6,false,false,0.0,0.23697399274106387,0.14834726134575973,0.994586782343977
training,1234,7,false,false,0.0,0.23426302066648388,0.15370763679369862,0.9046689530775279
training,1234,8,false,false,0.0,0.22511937799106316,0.1435420088464723,0.9009910716758709
training,1234,9,false,false,0.0,0.232868715197709,0.14863346703026697,1.1567835527056245
training,1234,10,false,false,0.0,0.22249812485845502,0.13930587461981242,1.1306207669135413
training,1234,11,false,false,0.0,0.23338630484084963,0.1500944529334309,1.1092716408244852
training,1234,12,false,false,0.0,0.23867662131795342,0.14884386179540793,1.138121544405611
training,1234,13,false,false,0.0,0.23085708989515602,0.15013618508787685,1.0942991992511986
training,1234,14,false,false,0.0,0.24344161613869617,0.15209203718476974,0.9847504973895216
training,1234,15,false,false,0.0,0.23854838924301217,0.15523941961571103,0.9819847736471586
training,1234,16,false,false,0.0,0.23907991348407007,0.14987270402300445,0.8997544894305348
training,1234,17,false,false,0.0,0.2369052600412801,0.14409521338662953,0.9478197965832973
training,1234,18,false,false,0.0,0.23034113753573077,0.15020554994755447,1.0372939734125128
training,1234,19,false,false,0.0,0.22913117467803215,0.14573128748999467,0.8390105262579601
training,1234,20,false,false,0.0,0.23706469570526012,0.14692362497703723,1.1528643156282519
training,1234,21,false,false,0.0,0.23975247959325377,0.14912322495494904,1.0659977155642943
training,1234,22,false,false,0.0,0.22978025805898544,0.14866408097860623,1.0154340463307585
training,1234,23,false,false,0.0,0.23639542036023153,0.1456573375010908,1.1518475996262496
training,1234,24,false,false,0.0,0.23989608292780504,0.14944476058201964,0.957367123857835
training,1234,25,false,false,0.0,0.23655800758639753,0.1490155039613802,1.1777787754208553
training,1234,26,false,false,0.0,0.22554136760042706,0.14706375755851522,1.01031475026217
training,1234,27,false,false,0.0,0.23824239316766177,0.1493921061771404,1.0396906437513591
training,1234,28,false,false,0.0,0.24307606628990322,0.1461090734111029,0.9698245600622902
training,1234,29,false,false,0.0,0.23692242295479182,0.14981860425068663,1.2895128754944725
training,1234,30,false,false,0.0,0.22714478788940756,0.13890187686551675,1.0193188168284597
training,1234,31,false,false,0.0,0.22396664517944104,0.1421535712120076,0.9259420223493423
training,1234,32,false,false,0.0,0.22689159639580286,0.1526796571494061,0.9331293138003726
training,1234,33,false,false,0.0,0.2328407096296977,0.15068612471603252,1.1842382543624779
training,1234,34,false,false,0.0,0.23331055998989608,0.1424022435675668,0.9971305911765798
training,1234,35,false,false,0.0,0.23549297707876068,0.15228510243132368,1.1537680551503695
training,1234,36,false,false,0.0,0.22603165887684756,0.14200363772942992,0.970009588471987
training,1234,37,false,false,0.0,0.2260914773596396,0.14495319949146332,1.1731390086257276
training,1234,38,false,false,0.0,0.23685178751501648,0.15022366453674818,1.280822195894119
training,1234,39,false,false,0.0,0.23464781205347898,0.14811465057022674,1.142547417812851
training,1234,40,false,false,0.0,0.23359453976391373,0.14768031919439686,1.0230929414514154
training,1234,41,false,false,0.0,0.2336918061566662,0.15235835088534558,0.9367577105925038
training,1234,42,false,false,0.0,0.24229000807524415,0.15163527650121378,1.0401504463775844
training,1234,43,false,false,0.0,0.22364645664016913,0.1503412487998044,1.1285954517673966
training,1234,44,false,false,0.0,0.23663782416560544,0.14999649131321713,0.8845981919842199
training,1234,45,false,false,0.0,0.22524581083837422,0.14205277324635476,1.1065894018039462
training,1234,46,false,false,0.0,0.2397336289690057,0.14875496080471182,1.019510161039008
training,1234,47,false,false,0.0,0.22391432800408892,0.14228300096689062,0.9878034621625505
training,1234,48,false,false,0.0,0.23793396885488882,0.14949138369349868,1.0347528051519719
training,1234,49,false,false,0.0,0.23451391696878698,0.14903820020521028,0.9152271688417065
training,1234,50,false,false,0.0,0.23713799689701567,0.15194759141086228,1.1909320841657705
training,1234,51,false,false,0.0,0.23676594726912317,0.14788429418423127,1.055705193753015
training,1234,52,false,false,0.0,0.2357635267200832,0.14745989448378485,0.9866884306108674
training,1234,53,false,false,0.0,0.2320637476519499,0.14714875278658632,1.001802579277946
training,1234,54,false,false,0.0,0.22412619284545038,0.14192229617697658,1.3069623500581171
training,1234,55,false,false,0.0,0.23792404851543772,0.1430942768351331,1.050909140121531
training,1234,56,false,false,0.0,0.2453003233900134,0.14916448394940893,0.953286032535886
training,1234,57,false,false,0.0,0.23251658943234638,0.14771176781156922,1.1976027852471223
training,1234,58,false,false,0.0,0.23952542124933196,0.14622942460270213,0.8434749283621409
training,1234,59,false,false,0.0,0.23790563648884142,0.148759241455778,0.9241585192941658
training,1234,60,false,false,0.0,0.23597279622013181,0.1477324655181141,1.0793498328800506
training,1234,61,false,false,0.0,0.22965232937089208,0.14191953028847168,0.9628629682552853
training,1234,62,false,false,0.0,0.23745184261972685,0.1507723883625675,1.0146566152282472
training,1234,63,false,false,0.0,0.22450898018860457,0.14693399549352856,1.0856177338494457
training,1234,64,false,false,0.0,0.23478880604223132,0.14668913305650141,1.0616651160210848
training,1234,65,false,false,0.0,0.22703736228497923,0.14246355568176536,1.0404929760742527
training,1234,66,false,false,0.0,0.2347129412096364,0.149315564347274,1.155219274060365
training,1234,67,false,false,0.0,0.22699839184290346,0.14348486912079664,0.9648356710955771
training,1234,68,false,false,0.0,0.23348298630247272,0.1487586602241797,0.9659367903533768
training,1234,69,false,false,0.0,0.23920635256894876,0.14780197554604987,1.164138606942605
training,1234,70,false,false,0.0,0.2356758712876978,0.14938822799928136,1.1853046455631777
training,1234,71,false,false,0.0,0.22684284390198314,0.1457542580652736,1.0141966760166057
training,1234,72,false,false,0.0,0.23280615405739088,0.14565632918414595,1.1677919116593316
training,1234,73,false,false,0.0,0.23146113718803019,0.1487451490452796,1.0407502468129521
training,1234,74,false,false,0.0,0.2259100470623403,0.14569067277987868,1.0922586141564354
training,1234,75,false,false,0.0,0.23623432923237253,0.15164459426666577,1.0690708603143873
training,1234,76,false,false,0.0,0.2340759062451939,0.15137464789144406,0.9674573218785539
training,1234,77,false,false,0.0,0.24010831036164862,0.14850759136675445,1.0056458742520682
training,1234,78,false,false,0.0,0.2319117119099336,0.14841261556904836,1.0679915892529819
training,1234,79,false,false,0.0,0.23198785335854263,0.14782454054599686,0.8465442159154347
training,1234,80,false,false,0.0,0.2379496487458105,0.14937552592683578,1.2340872209743372
training,1234,81,false,false,0.0,0.22337740465811323,0.13923205070188074,1.1846518640850254
training,1234,82,false,false,0.0,0.2421699182004768,0.15227511097786375,0.978689627337932
training,1234,83,false,false,0.0,0.23584027340280056,0.14798811978054147,0.9481894583666204
training,1234,84,false,false,0.0,0.22471582940042645,0.13976412212039485,1.083182125672662
training,1234,85,false,false,0.0,0.23836651790120222,0.14932856594167693,1.215098803675285
training,1234,86,false,false,0.0,0.2396433439980229,0.1484095753885114,1.098211777126387
training,1234,87,false,false,0.0,0.23674788183356846,0.14898297784294057,1.0188820948266244
training,1234,88,false,false,0.0,0.24235570850411117,0.15049183491834078,0.9705858125616621
training,1234,89,false,false,0.0,0.2263692655410435,0.1517415263872469,1.172776040725738
training,1234,90,false,false,0.0,0.2336640779582109,0.1480846106763782,1.1114736766864854
training,1234,91,false,false,0.0,0.24273221568017597,0.1505988727241201,0.9897703964071018
training,1234,92,false,false,0.0,0.23715289072175452,0.1471551237422481,1.0801831994839393
training,1234,93,false,false,0.0,0.23464519142262655,0.150010426489184,0.9029026799334782
training,1234,94,false,false,0.0,0.23642816249727158,0.15632095693330691,0.937078425556848
training,1234,95,false,false,0.0,0.23404344951258044,0.1496768478184599,1.0047381019556927
training,1234,96,false,false,0.0,0.23343022474341096,0.14655674141719918,0.9697768313009735
training,1234,97,false,false,0.0,0.22754496565629953,0.14375159671947377,1.1538049782975777
training,1234,98,false,false,0.0,0.23690827947450452,0.1504454545717814,1.193466207479378
training,1234,99,false,false,0.0,0.23427799103670605,0.14484650028838006,0.9847623215972889
training,1234,100,false,false,0.0,0.23192957168098982,0.15062774553842578,1.1381589244124746
training,1234,101,false,false,0.0,0.22385348100535954,0.14322183964955496,1.175925888306641
training,1234,102,false,false,0.0,0.23543450890422313,0.15000068346015005,1.202208450886919
training,1234,103,false,false,0.0,0.2508585323700033,0.1553805265634048,0.9464125500093669
training,1234,104,false,false,0.0,0.2217700837653497,0.13698626832494507,0.931245115679443
training,1234,105,false,false,0.0,0.23920517077513423,0.15076028786788268,1.032100355664025
training,1234,106,false,false,0.0,0.23196667410526067,0.14478079382827477,1.1428785516236253
training,1234,107,false,false,0.0,0.24319347078563322,0.15389712987655502,0.9600311958174216
training,1234,108,false,false,0.0,0.24198425699030415,0.14868362356645426,0.9753313918344392
training,1234,109,false,false,0.0,0.2284250056188943,0.14388825298230848,0.8769350779598732
training,1234,110,false,false,0.0,0.22249000504894492,0.14536487466783143,1.113526149631186
training,1234,111,false,false,0.0,0.2400320737565125,0.14783834825874553,1.2455079863340583
training,1234,112,false,false,0.0,0.23440226726170374,0.14710318615042026,1.0872388336716208
training,1234,113,false,false,0.0,0.23293478919184626,0.14951353506125198,1.0535193037216812
training,1234,114,false,false,0.0,0.25126910672155844,0.15221336684506218,0.9162028798155861
training,1234,115,false,false,0.0,0.23408928273258328,0.14740107922048928,1.2153292732632424
training,1234,116,false,false,0.0,0.2335459474372467,0.14833893039823168,0.9680937389091397
training,1234,117,false,false,0.0,0.23474151443592525,0.14918427360794884,0.9023066947230286
training,1234,118,false,false,0.0,0.24028487080770952,0.14152993504138145,0.8913254432900458
training,1234,119,false,false,0.0,0.23727355970805022,0.14491763939997393,0.9975136081623632
training,1234,120,false,false,0.0,0.2406687676961271,0.1515805679449227,1.3006562703229025
training,1234,121,false,false,0.0,0.2280225392272253,0.14801697185743073,0.9908556835666358
training,1234,122,false,false,0.0,0.23555229459862037,0.1488798836268668,1.117857199258999
training,1234,123,false,false,0.0,0.22199214093845282,0.13472515922267825,1.0687714930952896
training,1234,124,false,false,0.0,0.2440131308104787,0.15348698865078161,0.9855622604675857
training,1234,125,false,false,0.0,0.23740545169748625,0.14325805322132382,1.0997792021367396
training,1234,126,false,false,0.0,0.2281934554596578,0.14479689058589346,0.9714514360298122
training,1234,127,false,false,0.0,0.2457634653294725,0.1539502101439386,0.9307685082049321
training,1234,128,false,false,0.0,0.2403236580980109,0.1522396120018812,1.1004446245166049
training,1234,129,false,false,0.0,0.2249653692115393,0.14116375051155614,0.9455557288594533
training,1234,130,false,false,0.0,0.22044231874340642,0.14949934085248132,1.2462682115794492
training,1234,131,false,false,0.0,0.23256350133729978,0.1466818678864722,1.1750899385378646
training,1234,132,false,false,0.0,0.25081604681719055,0.15293040068675126,0.9142684787035102
training,1234,133,false,false,0.0,0.2356334290214681,0.14664708340375657,1.167460030065904
training,1234,134,false,false,0.0,0.24373106475362036,0.14899342786254943,1.180729425206107
training,1234,135,false,false,0.0,0.23000041730921766,0.14122088281508968,0.9388456855712349
training,1234,136,false,false,0.0,0.23853426822707335,0.14822185988537098,1.0666778403147081
training,1234,137,false,false,0.0,0.22604920183090008,0.1388054738356267,0.8894776813871581
training,1234,138,false,false,0.0,0.23958451209638718,0.14843981008392568,1.1258628742007972
training,1234,139,false,false,0.0,0.22963880063315162,0.14366913251710978,0.9669610871687967
training,1234,140,false,false,0.0,0.2359501552777829,0.14825421264903785,0.98024099448136
training,1234,141,false,false,0.0,0.23779226470642414,0.15246601322313075,0.9158337597554769
training,1234,142,false,false,0.0,0.2451950831956734,0.153862980234501,1.0874410083161254
training,1234,143,false,false,0.0,0.23665558890208058,0.14992465510444178,1.0062937981668163
training,1234,144,false,false,0.0,0.22421160225514886,0.1396655697461635,0.9688018301565564
training,1234,145,false,false,0.0,0.22992439496324124,0.14403408481292068,0.9906768837006893
training,1234,146,false,false,0.0,0.24207332078910568,0.15262524361425325,0.9340030311375093
training,1234,147,false,false,0.0,0.24195662816159522,0.15090030136960747,1.0122435229112088
training,1234,148,false,false,0.0,0.24548368175524155,0.1523688449561627,0.8868116205097993
training,1234,149,false,false,0.0,0.23473695676625894,0.14884242505851641,1.0058307638493096
training,1234,150,false,false,0.0,0.2439143016501567,0.15231956865815602,0.9021337460206761
training,1234,151,false,false,0.0,0.23257532008034468,0.14646376843909314,1.134915190723455
training,1234,152,false,false,0.0,0.2382795106285937,0.14970998853449463,0.9875356945960245
training,1234,153,false,false,0.0,0.23475308606481893,0.1485966546364775,0.9407243834431267
training,1234,154,false,false,0.0,0.24000285723578194,0.1531287948569428,0.85025053393026
training,1234,155,false,false,0.0,0.23528227254820167,0.14872915361953568,0.9519791451795035
training,1234,156,false,false,0.0,0.23839343858268983,0.14811265967130952,1.329700782335002
training,1234,157,false,false,0.0,0.22618894960069016,0.1449876262478265,1.1038148498606257
training,1234,158,false,false,0.0,0.2291388353191158,0.15272485340986056,1.0243918445963338
training,1234,159,false,false,0.0,0.24559726655431227,0.14988419782730728,1.0082848903503272
training,1234,160,false,false,0.0,0.23600379058251714,0.1471772725510946,0.9538690405742533
training,1234,161,false,false,0.0,0.23408693582895113,0.14901469065910522,1.1405240500566862
training,1234,162,false,false,0.0,0.2361668438684777,0.15031738461886743,1.217321345797055
training,1234,163,false,false,0.0,0.22264888416400297,0.1436678444954032,1.020708818225252
training,1234,164,false,false,0.0,0.22997273291507955,0.14233784792410328,1.1853044664797028
training,1234,165,false,false,0.0,0.2221878185491339,0.14818917878298482,1.1151653992702428
training,1234,166,false,false,0.0,0.24307773464051013,0.15463160865349967,0.8782869226962285
training,1234,167,false,false,0.0,0.2414947928000461,0.15170904914612715,1.1012522501389959
training,1234,168,false,false,0.0,0.24098037780385512,0.15224460558640587,0.997933208909658
training,1234,169,false,false,0.0,0.23623444973331864,0.14750999483561478,1.1359379738246693
training,1234,170,false,false,0.0,0.24086857426444352,0.1499810619504208,0.9677881808373159
training,1234,171,false,false,0.0,0.2406965678578303,0.14536153410330524,1.116358533498401
training,1234,172,false,false,0.0,0.23294641045107578,0.14974089805910135,1.14328664309209
training,1234,173,false,false,0.0,0.24196157351724093,0.1497282083881462,1.0947241837143165
training,1234,174,false,false,0.0,0.23292020679332834,0.14624012423668056,1.10314385055882
training,1234,175,false,false,0.0,0.23195057304403707,0.15007846206199477,1.1713399620721456
training,1234,176,false,false,0.0,0.23832908566632383,0.14790865433801426,1.0801497576357588
training,1234,177,false,false,0.0,0.24282914383200502,0.15293952455845475,1.1208621457840389
training,1234,178,false,false,0.0,0.2385486230350396,0.14894560866996803,1.0549005181507707
training,1234,179,false,false,0.0,0.22155578413346028,0.13887377059673361,1.0235333743540447
training,1234,180,false,false,0.0,0.22865483294323533,0.14560597760856558,0.9798729457462296
training,1234,181,false,false,0.0,0.2368533356470947,0.14613468066028143,1.1790016380086383
training,1234,182,false,false,0.0,0.2348782815406179,0.14820705804244125,1.0966188476133694
training,1234,183,false,false,0.0,0.2330733644279467,0.14174288105897778,0.9517831609632529
training,1234,184,false,false,0.0,0.2425811127714363,0.15178787825428924,0.9593558734516311
training,1234,185,false,false,0.0,0.23632045194344226,0.14751454266043826,0.9712391713004376
training,1234,186,false,false,0.0,0.2337744330159718,0.14748695729348885,1.0160779862702705
training,1234,187,false,false,0.0,0.24037111409300485,0.15337320509463206,1.1518033867003885
training,1234,188,false,false,0.0,0.24665196868194436,0.15398210959592784,1.041177021477542
training,1234,189,false,false,0.0,0.23080150329910734,0.14098928191367371,0.8626422010536995
training,1234,190,false,false,0.0,0.23028177217341395,0.14655827915748457,0.9835649612909325
training,1234,191,false,false,0.0,0.22339139714725156,0.13798027935195423,1.448430995759719
training,1234,192,false,false,0.0,0.23387428053098902,0.1493442103092411,0.9986911934279478
training,1234,193,false,false,0.0,0.2333925418177857,0.14520389951986787,1.1291825630223453
training,1234,194,false,false,0.0,0.2289128068782002,0.1361421638274317,0.8462491432493068
training,1234,195,false,false,0.0,0.22728784461251372,0.14253907950870368,0.9162680151361489
training,1234,196,false,false,0.0,0.23831890860396732,0.1506985787794399,0.9612851766055223
training,1234,197,false,false,0.0,0.2327339874699817,0.1524269680350718,0.957987150449018
training,1234,198,false,false,0.0,0.2358650464390108,0.14652405725223241,0.9540640419782533
training,1234,199,false,false,0.0,0.2197614855285865,0.14328681113176414,1.1354835864404422
training,1234,200,false,false,0.0,0.2364727972080507,0.14690789575805555,0.9389523630396335
